KABAALE SCHOOL OF COMPREHENSIVE NURSING - MOCK VOTER REGISTRY
Total Voters: 627
Default Password: password123
====================================================================================================
#    | REG NUMBER         | NAME                      | GENDER   | YEAR     | COURSE
----------------------------------------------------------------------------------------------------
001  | 25/U/1000/EVE      | John Akullo               | Female   | Year 1   | Nursing (Certificate)
002  | 24/U/1001/EVE      | James Nantongo            | Female   | Year 2   | Nursing (Diploma)
003  | 23/U/1002/EVE      | Patricia Namakula         | Male     | Year 3   | Midwifery (Certificate)
004  | 25/U/1003/EVE      | Thomas Nantongo           | Female   | Year 1   | Midwifery (Diploma)
005  | 24/U/1004/EVE      | Karen Okello              | Male     | Year 2   | Nursing (Certificate)
006  | 23/U/1005/EVE      | James Lubega              | Male     | Year 3   | Nursing (Diploma)
007  | 25/U/1006/EVE      | Michael Nakato            | Male     | Year 1   | Midwifery (Certificate)
008  | 24/U/1007/EVE      | Jennifer Kato             | Male     | Year 2   | Midwifery (Diploma)
009  | 23/U/1008/EVE      | Jessica Babirye           | Male     | Year 3   | Nursing (Certificate)
010  | 25/U/1009/EVE      | Susan Kato                | Female   | Year 1   | Nursing (Diploma)
011  | 24/U/1010/EVE      | Michael Musoke            | Female   | Year 2   | Midwifery (Certificate)
012  | 23/U/1011/EVE      | Richard Kato              | Female   | Year 3   | Midwifery (Diploma)
013  | 25/U/1012/EVE      | Susan Mugisha             | Female   | Year 1   | Nursing (Certificate)
014  | 24/U/1013/EVE      | Mariam Musoke             | Male     | Year 2   | Nursing (Diploma)
015  | 23/U/1014/EVE      | Robert Lubega             | Female   | Year 3   | Midwifery (Certificate)
016  | 25/U/1015/EVE      | Thomas Mugisha            | Female   | Year 1   | Midwifery (Diploma)
017  | 24/U/1016/EVE      | Thomas Lubega             | Female   | Year 2   | Nursing (Certificate)
018  | 23/U/1017/EVE      | William Akullo            | Female   | Year 3   | Nursing (Diploma)
019  | 25/U/1018/EVE      | James Ochieng             | Female   | Year 1   | Midwifery (Certificate)
020  | 24/U/1019/EVE      | Linda Mugisha             | Female   | Year 2   | Midwifery (Diploma)
021  | 23/U/1020/EVE      | John Nakato               | Male     | Year 3   | Nursing (Certificate)
022  | 25/U/1021/EVE      | Sarah Ochieng             | Male     | Year 1   | Nursing (Diploma)
023  | 24/U/1022/EVE      | Michael Byaruhanga        | Female   | Year 2   | Midwifery (Certificate)
024  | 23/U/1023/EVE      | James Byaruhanga          | Male     | Year 3   | Midwifery (Diploma)
025  | 25/U/1024/EVE      | William Nakato            | Female   | Year 1   | Nursing (Certificate)
026  | 24/U/1025/EVE      | Joseph Byaruhanga         | Male     | Year 2   | Nursing (Diploma)
